,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTCO1P40,11.602847159602186,-0.11573306478984945,0.35293029527232195,-0.32792046004594055,0.742971803463968,0.9999414166694955
MTCO1P2,1.4731963883162136,0.8291103327502407,0.4884880960782846,1.6972989503870497,0.08964015558929449,0.9999414166694955
MTCO1P12,13.877698476694157,-0.15295436508596758,0.1375029363260452,-1.112371627637712,0.2659783983750268,0.9999414166694955
MTCH2,0.6451358115903603,0.9937805146442276,0.7245076805395996,1.3716631877581735,0.17016831324887627,0.9999414166694955
MTCH1,0.5933940886325677,-0.657280220304736,0.6993168592078612,-0.9398889954537324,0.3472745026071995,0.9999414166694955
MTATP8P1,0.21572790728310892,0.5865919733847933,1.543400339299586,0.3800646912200343,0.7038973949473901,0.9999414166694955
MTATP6P1,22.93621301210114,-0.11122395787784872,0.08073934796265592,-1.3775681954886823,0.16833664612508814,0.9999414166694955
MTAP,0.15783107933135684,-0.05084459153747051,1.163898755321126,-0.04368472026026199,0.9651557190553662,0.9999414166694955
MTMR1,0.21992696754025656,0.041926090218624194,1.1562002205526152,0.03626196351924694,0.9710734786942476,0.9999414166694955
MTM1,0.21245861258782883,-0.4069391673926787,1.2605235291568884,-0.3228334560838093,0.7468213742023875,0.9999414166694955
MTIF3,0.8088638316613146,0.6420476259908239,0.6545697491037056,0.9808696886313063,0.3266570067842971,0.9999414166694955
MTIF2,0.40696209660050925,1.3973163497580297,0.9280318147855989,1.5056772057764511,0.13215005822343442,0.9999414166694955
MTHFS,0.11901355424691082,0.05945023246475607,1.4583430140664098,0.04076560307920043,0.9674827613182402,0.9999414166694955
MTHFR,0.4853928733543418,-0.06102740248998844,0.7443301099847949,-0.08198970009588233,0.9346549040121341,0.9999414166694955
MTHFD2,0.2661256288558112,-0.30859309616915315,1.49071116285224,-0.20701065629555565,0.8360015362384197,0.9999414166694955
MTHFD1,0.41700308261536717,1.32719996762899,0.9268508622746318,1.4319455498717897,0.1521594049446242,0.9999414166694955
MTG2,0.2014412290735311,0.034482352286609466,1.2526449832259574,0.027527633725723703,0.978038899669261,0.9999414166694955
MTG1,0.14776587770873556,-0.35169971930293126,1.7774110000099164,-0.19787191555637335,0.8431452778495072,0.9999414166694955
MTFR1L,0.18792899837153826,-0.050874193835342384,1.2547746324824922,-0.040544487048396104,0.9676590406446768,0.9999414166694955
MTFP1,0.10098883910994365,0.35293474899042565,1.8273838413416361,0.1931366257082073,0.8468519694526423,0.9999414166694955
MTFMT,0.12858653461237482,-0.29517395087598375,1.7878247334305102,-0.16510228623451176,0.8688634735527485,0.9999414166694955
MTF2,0.4535929432742412,0.628464307299778,0.8518637413548039,0.7377521507139961,0.4606650749788206,0.9999414166694955
